,_Index,Chapter,Content,Word_Count,Text_Length,Location,LocationType,Time,Event,ESummary,EImportance,CTag,CText,Character,ERole,reduce_distance,reduce_distance_stack,x_reduce,y_reduce,cluster
0,0,1,CHAPTER I. Down the Rabbit-Hole,5,31,,,,,,,,,,,0.0,0.0,-0.18625362741310664,-0.07126473332413093,0
1,1,1,"Alice was beginning to get very tired of sitting by her sister on the bank, and of having nothing to do: once or twice she had peeped into the book her sister was reading, but it had no pictures or conversations in it, “and what is the use of a book,” thought Alice “without pictures or conversations?”",57,302,field,EXT,day,Alice's boredom and curiosity,Alice is depicted as being tired of sitting idle by her sister and disinterested in a book without pictures. This sets the stage for her subsequent adventure by highlighting her longing for excitement and curiosity.,5.0,Statement,Alice is bored and wonders about the purpose of a book without pictures.,Alice,Setup,0.02147010164891521,0.02147010164891521,-0.20771628292450772,-0.07069932797071064,0
2,2,1,"So she was considering in her own mind (as well as she could, for the hot day made her feel very sleepy and stupid), whether the pleasure of making a daisy-chain would be worth the trouble of getting up and picking the daisies, when suddenly a White Rabbit with pink eyes ran close by her.",55,289,field,EXT,day,Alice sees the White Rabbit,"Alice spots a White Rabbit with a pocket watch, showing signs of distress about being late. This sight sparks Alice's curiosity, leading her to follow it.",6.0,Action,"The White Rabbit runs past Alice, muttering about being late.",White Rabbit,Inciting Incident,0.023065832892029767,0.04453593454094498,-0.2058336353382181,-0.047710454899833936,0
3,3,1,"There was nothing so _very_ remarkable in that; nor did Alice think it so _very_ much out of the way to hear the Rabbit say to itself, “Oh dear! Oh dear! I shall be late!” (when she thought it over afterwards, it occurred to her that she ought to have wondered at this, but at the time it all seemed quite natural); but when the Rabbit actually _took a watch out of its waistcoat-pocket_, and looked at it, and then hurried on, Alice started to her feet, for it flashed across her mind that she had never before seen a rabbit with either a waistcoat-pocket, or a watch to take out of it, and burning with curiosity, she ran across the field after it, and fortunately was just in time to see it pop down a large rabbit-hole under the hedge.",141,739,hole,EXT,day,Alice sees the White Rabbit,"Alice spots a White Rabbit with a pocket watch, showing signs of distress about being late. This sight sparks Alice's curiosity, leading her to follow it.",6.0,Action,The White Rabbit takes a watch out of its waistcoat-pocket and hurries on.,White Rabbit,Inciting Incident,0.011774852155387951,0.05631078669633294,-0.1945708901357176,-0.05114523491968908,0
4,4,1,"In another moment down went Alice after it, never once considering how in the world she was to get out again.",21,109,hole,EXT,day,Alice follows the White Rabbit down the rabbit-hole,"Without hesitation, Alice follows the Rabbit as it disappears down a rabbit-hole, marking the beginning of her descent into the fantastical world.",7.0,,,,Turning Point,0.012593346459726545,0.06890413315605948,-0.19084734352124333,-0.03911495746384691,0
5,5,1,"The rabbit-hole went straight on like a tunnel for some way, and then dipped suddenly down, so suddenly that Alice had not a moment to think about stopping herself before she found herself falling down a very deep well.",39,219,well,INT,night,Alice's fall down the rabbit-hole,"Alice experiences a surreal and prolonged fall through the rabbit-hole, providing her time to reflect and wonder about her journey ahead. This scene emphasizes the whimsical nature of her adventure.",7.0,,,,Setup,0.016719750954069825,0.0856238841101293,-0.20742886732378044,-0.03696946443146154,0
6,6,1,"Either the well was very deep, or she fell very slowly, for she had plenty of time as she went down to look about her and to wonder what was going to happen next. First, she tried to look down and make out what she was coming to, but it was too dark to see anything; then she looked at the sides of the well, and noticed that they were filled with cupboards and book-shelves; here and there she saw maps and pictures hung upon pegs. She took down a jar from one of the shelves as she passed; it was labelled “ORANGE MARMALADE”, but to her great disappointment it was empty: she did not like to drop the jar for fear of killing somebody underneath, so managed to put it into one of the cupboards as she fell past it.",141,715,well,INT,night,Alice's fall down the rabbit-hole,"Alice experiences a surreal and prolonged fall through the rabbit-hole, providing her time to reflect and wonder about her journey ahead. This scene emphasizes the whimsical nature of her adventure.",7.0,Action,Alice falls down a rabbit-hole and observes the odd surroundings.,Alice,Setup,0.02654991569905975,0.11217379980918905,-0.1872947070115616,-0.0542759260036331,0
7,7,1,"“Well!” thought Alice to herself, “after such a fall as this, I shall think nothing of tumbling down stairs! How brave they’ll all think me at home! Why, I wouldn’t say anything about it, even if I fell off the top of the house!” (Which was very likely true.)",49,259,well,INT,night,Alice's fall down the rabbit-hole,"Alice experiences a surreal and prolonged fall through the rabbit-hole, providing her time to reflect and wonder about her journey ahead. This scene emphasizes the whimsical nature of her adventure.",7.0,,,,Setup,0.043037967534135364,0.15521176734332442,-0.14477672136025538,-0.04760602753179646,1
8,8,1,"Down, down, down. Would the fall _never_ come to an end? “I wonder how many miles I’ve fallen by this time?” she said aloud. “I must be getting somewhere near the centre of the earth. Let me see: that would be four thousand miles down, I think—” (for, you see, Alice had learnt several things of this sort in her lessons in the schoolroom, and though this was not a _very_ good opportunity for showing off her knowledge, as there was no one to listen to her, still it was good practice to say it over) “—yes, that’s about the right distance—but then I wonder what Latitude or Longitude I’ve got to?” (Alice had no idea what Latitude was, or Longitude either, but thought they were nice grand words to say.)",131,706,well,INT,night,Alice's fall down the rabbit-hole,"Alice experiences a surreal and prolonged fall through the rabbit-hole, providing her time to reflect and wonder about her journey ahead. This scene emphasizes the whimsical nature of her adventure.",7.0,Statement,Alice contemplates the depth of her fall and her knowledge of geography.,Alice,Setup,0.008883468087930146,0.16409523543125457,-0.14139941167271253,-0.039389593722429866,1
9,9,1,"Presently she began again. “I wonder if I shall fall right _through_ the earth! How funny it’ll seem to come out among the people that walk with their heads downward! The Antipathies, I think—” (she was rather glad there _was_ no one listening, this time, as it didn’t sound at all the right word) “—but I shall have to ask them what the name of the country is, you know. Please, Ma’am, is this New Zealand or Australia?” (and she tried to curtsey as she spoke—fancy _curtseying_ as you’re falling through the air! Do you think you could manage it?) “And what an ignorant little girl she’ll think me for asking! No, it’ll never do to ask: perhaps I shall see it written up somewhere.”",125,684,well,INT,night,Alice's fall down the rabbit-hole,"Alice experiences a surreal and prolonged fall through the rabbit-hole, providing her time to reflect and wonder about her journey ahead. This scene emphasizes the whimsical nature of her adventure.",7.0,,,,Setup,0.018157765681120524,0.18225300111237508,-0.1346707229709654,-0.02252456473089063,1
