,_Index,Chapter,Content,Word_Count,Text_Length,Location,LocationType,Time,Event,ESummary,EImportance,CTag,CText,Character,ERole,reduce_distance,reduce_distance_stack,x_reduce,y_reduce,cluster
0,0,1,CHAPTER I. Down the Rabbit-Hole,5,31,,,,,,,,,,,0.0,0.0,2.916276,0.080743924,0
1,1,1,"Alice was beginning to get very tired of sitting by her sister on the bank, and of having nothing to do: once or twice she had peeped into the book her sister was reading, but it had no pictures or conversations in it, “and what is the use of a book,” thought Alice “without pictures or conversations?”",57,302,field,EXT,day,Alice's boredom and curiosity,Alice is depicted as being tired of sitting idle by her sister and disinterested in a book without pictures. This sets the stage for her subsequent adventure by highlighting her longing for excitement and curiosity.,5.0,Statement,Alice is bored and wonders about the purpose of a book without pictures.,Alice,Setup,0.09291994571685791,0.09291994571685791,3.0017042,0.044190772,0
2,2,1,"So she was considering in her own mind (as well as she could, for the hot day made her feel very sleepy and stupid), whether the pleasure of making a daisy-chain would be worth the trouble of getting up and picking the daisies, when suddenly a White Rabbit with pink eyes ran close by her.",55,289,field,EXT,day,Alice sees the White Rabbit,"Alice spots a White Rabbit with a pocket watch, showing signs of distress about being late. This sight sparks Alice's curiosity, leading her to follow it.",6.0,Action,"The White Rabbit runs past Alice, muttering about being late.",White Rabbit,Inciting Incident,0.02781454287469387,0.12073448859155178,3.00065,0.07198533,0
3,3,1,"There was nothing so _very_ remarkable in that; nor did Alice think it so _very_ much out of the way to hear the Rabbit say to itself, “Oh dear! Oh dear! I shall be late!” (when she thought it over afterwards, it occurred to her that she ought to have wondered at this, but at the time it all seemed quite natural); but when the Rabbit actually _took a watch out of its waistcoat-pocket_, and looked at it, and then hurried on, Alice started to her feet, for it flashed across her mind that she had never before seen a rabbit with either a waistcoat-pocket, or a watch to take out of it, and burning with curiosity, she ran across the field after it, and fortunately was just in time to see it pop down a large rabbit-hole under the hedge.",141,739,hole,EXT,day,Alice sees the White Rabbit,"Alice spots a White Rabbit with a pocket watch, showing signs of distress about being late. This sight sparks Alice's curiosity, leading her to follow it.",6.0,Action,The White Rabbit takes a watch out of its waistcoat-pocket and hurries on.,White Rabbit,Inciting Incident,0.10070816427469254,0.22144265286624432,2.9174309,0.1287015,0
4,4,1,"In another moment down went Alice after it, never once considering how in the world she was to get out again.",21,109,hole,EXT,day,Alice follows the White Rabbit down the rabbit-hole,"Without hesitation, Alice follows the Rabbit as it disappears down a rabbit-hole, marking the beginning of her descent into the fantastical world.",7.0,,,,Turning Point,0.12498129159212112,0.34642394445836544,2.7924607,0.13036655,0
5,5,1,"The rabbit-hole went straight on like a tunnel for some way, and then dipped suddenly down, so suddenly that Alice had not a moment to think about stopping herself before she found herself falling down a very deep well.",39,219,well,INT,night,Alice's fall down the rabbit-hole,"Alice experiences a surreal and prolonged fall through the rabbit-hole, providing her time to reflect and wonder about her journey ahead. This scene emphasizes the whimsical nature of her adventure.",7.0,,,,Setup,0.04836325719952583,0.3947872016578913,2.838381,0.14554298,0
6,6,1,"Either the well was very deep, or she fell very slowly, for she had plenty of time as she went down to look about her and to wonder what was going to happen next. First, she tried to look down and make out what she was coming to, but it was too dark to see anything; then she looked at the sides of the well, and noticed that they were filled with cupboards and book-shelves; here and there she saw maps and pictures hung upon pegs. She took down a jar from one of the shelves as she passed; it was labelled “ORANGE MARMALADE”, but to her great disappointment it was empty: she did not like to drop the jar for fear of killing somebody underneath, so managed to put it into one of the cupboards as she fell past it.",141,715,well,INT,night,Alice's fall down the rabbit-hole,"Alice experiences a surreal and prolonged fall through the rabbit-hole, providing her time to reflect and wonder about her journey ahead. This scene emphasizes the whimsical nature of her adventure.",7.0,Action,Alice falls down a rabbit-hole and observes the odd surroundings.,Alice,Setup,0.04276711121201515,0.4375543128699064,2.8407524,0.1882443,0
7,7,1,"“Well!” thought Alice to herself, “after such a fall as this, I shall think nothing of tumbling down stairs! How brave they’ll all think me at home! Why, I wouldn’t say anything about it, even if I fell off the top of the house!” (Which was very likely true.)",49,259,well,INT,night,Alice's fall down the rabbit-hole,"Alice experiences a surreal and prolonged fall through the rabbit-hole, providing her time to reflect and wonder about her journey ahead. This scene emphasizes the whimsical nature of her adventure.",7.0,,,,Setup,0.16740769147872925,0.6049620043486357,2.6738746,0.20155407,1
8,8,1,"Down, down, down. Would the fall _never_ come to an end? “I wonder how many miles I’ve fallen by this time?” she said aloud. “I must be getting somewhere near the centre of the earth. Let me see: that would be four thousand miles down, I think—” (for, you see, Alice had learnt several things of this sort in her lessons in the schoolroom, and though this was not a _very_ good opportunity for showing off her knowledge, as there was no one to listen to her, still it was good practice to say it over) “—yes, that’s about the right distance—but then I wonder what Latitude or Longitude I’ve got to?” (Alice had no idea what Latitude was, or Longitude either, but thought they were nice grand words to say.)",131,706,well,INT,night,Alice's fall down the rabbit-hole,"Alice experiences a surreal and prolonged fall through the rabbit-hole, providing her time to reflect and wonder about her journey ahead. This scene emphasizes the whimsical nature of her adventure.",7.0,Statement,Alice contemplates the depth of her fall and her knowledge of geography.,Alice,Setup,0.06347069889307022,0.6684327032417059,2.6106095,0.20665883,1
9,9,1,"Presently she began again. “I wonder if I shall fall right _through_ the earth! How funny it’ll seem to come out among the people that walk with their heads downward! The Antipathies, I think—” (she was rather glad there _was_ no one listening, this time, as it didn’t sound at all the right word) “—but I shall have to ask them what the name of the country is, you know. Please, Ma’am, is this New Zealand or Australia?” (and she tried to curtsey as she spoke—fancy _curtseying_ as you’re falling through the air! Do you think you could manage it?) “And what an ignorant little girl she’ll think me for asking! No, it’ll never do to ask: perhaps I shall see it written up somewhere.”",125,684,well,INT,night,Alice's fall down the rabbit-hole,"Alice experiences a surreal and prolonged fall through the rabbit-hole, providing her time to reflect and wonder about her journey ahead. This scene emphasizes the whimsical nature of her adventure.",7.0,,,,Setup,0.06430869549512863,0.7327413987368345,2.546323,0.20834933,1
10,10,1,"Down, down, down. There was nothing else to do, so Alice soon began talking again. “Dinah’ll miss me very much to-night, I should think!” (Dinah was the cat.) “I hope they’ll remember her saucer of milk at tea-time. Dinah my dear! I wish you were down here with me! There are no mice in the air, I’m afraid, but you might catch a bat, and that’s very like a mouse, you know. But do cats eat bats, I wonder?” And here Alice began to get rather sleepy, and went on saying to herself, in a dreamy sort of way, “Do cats eat bats? Do cats eat bats?” and sometimes, “Do bats eat cats?” for, you see, as she couldn’t answer either question, it didn’t much matter which way she put it. She felt that she was dozing off, and had just begun to dream that she was walking hand in hand with Dinah, and saying to her very earnestly, “Now, Dinah, tell me the truth: did you ever eat a bat?” when suddenly, thump! thump! down she came upon a heap of sticks and dry leaves, and the fall was over.",191,980,well,INT,night,Alice's fall down the rabbit-hole,"Alice experiences a surreal and prolonged fall through the rabbit-hole, providing her time to reflect and wonder about her journey ahead. This scene emphasizes the whimsical nature of her adventure.",7.0,Statement,"Alice thinks of her cat, Dinah, while falling.",Alice,Setup,0.05800469219684601,0.7907460909336805,2.488542,0.20325989,1
11,11,1,"Alice was not a bit hurt, and she jumped up on to her feet in a moment: she looked up, but it was all dark overhead; before her was another long passage, and the White Rabbit was still in sight, hurrying down it. There was not a moment to be lost: away went Alice like the wind, and was just in time to hear it say, as it turned a corner, “Oh my ears and whiskers, how late it’s getting!” She was close behind it when she turned the corner, but the Rabbit was no longer to be seen: she found herself in a long, low hall, which was lit up by a row of lamps hanging from the roof.",120,578,hall,INT,night,Alice discovers the long hall,"After her fall, Alice arrives in a long hall with locked doors, where she faces immediate obstacles that hinder her escape, enhancing the sense of entrapment and the need for creativity to move forward.",6.0,Action,The Rabbit is heard exclaiming about being late while rushing down a passage.,White Rabbit,Inciting Incident,0.11878488957881927,0.9095309805124998,2.3862617,0.26366332,1
12,12,1,"There were doors all round the hall, but they were all locked; and when Alice had been all the way down one side and up the other, trying every door, she walked sadly down the middle, wondering how she was ever to get out again.",45,228,hall,INT,night,Alice discovers the long hall,"After her fall, Alice arrives in a long hall with locked doors, where she faces immediate obstacles that hinder her escape, enhancing the sense of entrapment and the need for creativity to move forward.",6.0,Action,Alice explores a long hall and attempts to open locked doors.,Alice,Inciting Incident,0.16774745285511017,1.07727843336761,2.218601,0.25826946,2
