tag,content,name
LOCATION,EXT. HEATH - THUNDERING NIGHT,
STATEMENT,"Three Witches enter amidst thunder and lightning, their eerie presence commanding the scene.",
DIALOGUE,"All: Padock calls anon: fair is foul, and foul is fair, Hover through the fog and filthy air.",
STATEMENT,"The Witches exit, leaving an ominous atmosphere.",
LOCATION,EXT. BATTLEFIELD - DAY,
STATEMENT,"An alarm sounds as the King, Malcolm, Donalbain, and Lennox enter with attendants, encountering a bleeding Captain.",
DIALOGUE,"What bloody man is that? He can report, as seems by his plight, of the Revolt the newest state.",KING
DIALOGUE,"This is the Sergeant, who like a good and hardy Soldier fought against my Captivity. Hail brave friend; say to the King, the knowledge of the Broil, as thou didst leave it.",MALCOLM
DIALOGUE,"Doubtful it stood, as two spent Swimmers, that do cling together, and choke their Art...",CAPTAIN
STATEMENT,"The Captain recounts the ferocity of battle, detailing Macbeth's valor and the gruesome fate of the enemy.",
DIALOGUE,"O valiant Cousin, worthy Gentleman!",KING
STATEMENT,"The King listens intently, his face a mixture of admiration and concern.",
LOCATION,EXT. KING'S CAMP - DAY,
STATEMENT,The atmosphere is tense as the Captain describes the renewed assault by the Norwegians.,
DIALOGUE,"Dismayed not this our Captains, Macbeth and Banquo?",KING
DIALOGUE,"Yes, as Sparrows, Eagles; or the Hare, the Lion...",CAPTAIN
LOCATION,EXT. SCOTTISH COUNTRYSIDE - DAY,
STATEMENT,"Ross and Angus approach, their expressions grave.",
DIALOGUE,God save the King.,ROSSE
DIALOGUE,"Whence cam'st thou, worthy Thane?",KING
DIALOGUE,"From Fife, great King, where the Norwegan banners float the sky...",ROSSE
LOCATION,EXT. BLASTED HEATH - DAY,
STATEMENT,Thunder rumbles as the three Witches reappear.,
STATEMENT,"The Witches prepare a spell, their sinister intentions palpable.",
LOCATION,EXT. BLASTED HEATH - LATER,
STATEMENT,"The Witches chant and dance, calling forth the arrival of Macbeth and Banquo.",
DIALOGUE,So foul and fair a day I have not seen.,MACBETH
DIALOGUE,"How far is't called to Soris? What are these, so withered and so wild in their attire?",BANQUO
STATEMENT,"The witches vanish, leaving Macbeth and Banquo in shock.",
LOCATION,EXT. BLASTED HEATH - MOMENTS LATER,
DIALOGUE,"Were such things here, as we do speak about? Or have we eaten on the insane Root, that takes the Reason Prisoner?",BANQUO
DIALOGUE,Your Children shall be Kings.,MACBETH
DIALOGUE,You shall be King.,BANQUO
LOCATION,EXT. FOREST NEAR THE KING'S CAMP - DAY,
STATEMENT,Ross and Angus approach Macbeth with news of his promotion.,
DIALOGUE,"The King hath happily received, Macbeth, the news of thy success...",ROSSE
