,_Index,relation_num,active_level
0,0,5284,9
1,1,5284,9
2,2,5270,9
3,3,5250,9
4,4,5236,9
5,5,5286,9
6,6,5316,9
7,7,5284,9
8,8,5280,9
9,9,5280,9
10,10,5234,9
11,11,5250,9
12,12,5272,9
13,13,5226,9
14,14,5262,9
15,15,5352,9
16,16,5256,9
17,17,5244,9
18,18,5250,9
19,19,5310,9
20,20,5270,9
21,21,5310,9
22,22,5320,9
23,23,5280,9
24,24,5244,9
25,25,5304,9
26,26,5278,9
27,27,5236,9
28,28,5308,9
29,29,5246,9
30,30,5242,9
31,31,5288,9
32,32,5286,9
33,33,5266,9
34,34,5230,9
35,35,5266,9
36,36,5252,9
37,37,5276,9
38,38,5214,9
39,39,5304,9
40,40,5298,9
41,41,5266,9
42,42,5262,9
43,43,5294,9
44,44,5288,9
45,45,5252,9
46,46,5278,9
47,47,5272,9
48,48,5260,9
49,49,5232,9
50,50,5288,9
51,51,5302,9
52,52,5256,9
53,53,5294,9
54,54,5276,9
55,55,5316,9
56,56,5298,9
57,57,5270,9
58,58,5240,9
59,59,5282,9
60,60,5360,9
61,61,5244,9
62,62,5280,9
63,63,5286,9
64,64,5284,9
65,65,5358,9
66,66,5340,9
67,67,5284,9
68,68,5264,9
69,69,5298,9
70,70,5276,9
71,71,5264,9
72,72,5282,9
73,73,5342,9
74,74,5262,9
75,75,5282,9
76,76,5230,9
77,77,5308,9
78,78,5296,9
79,79,5330,9
80,80,5290,9
81,81,5272,9
82,82,5284,9
83,83,5282,9
84,84,5284,9
85,85,5288,9
86,86,5308,9
87,87,5318,9
88,88,5306,9
89,89,5320,9
90,90,5316,9
91,91,5324,9
92,92,5270,9
93,93,5276,9
94,94,5306,9
95,95,5282,9
96,96,5322,9
97,97,5296,9
98,98,5286,9
99,99,5220,9
100,100,5268,9
101,101,5254,9
102,102,5324,9
103,103,5284,9
104,104,5262,9
105,105,5268,9
106,106,5266,9
107,107,5246,9
108,108,5316,9
109,109,5314,9
110,110,5238,9
111,111,5274,9
112,112,5280,9
113,113,5282,9
114,114,5272,9
115,115,5280,9
116,116,5334,9
117,117,5256,9
118,118,5330,9
119,119,5306,9
120,120,5300,9
121,121,5264,9
122,122,5236,9
123,123,5284,9
124,124,5256,9
125,125,5280,9
126,126,5284,9
127,127,5164,9
128,128,5106,9
129,129,5026,9
130,130,4950,9
131,131,4832,8
132,132,4776,8
133,133,4740,8
134,134,4630,8
135,135,4582,8
136,136,4528,8
137,137,4446,8
138,138,4344,8
139,139,4368,8
140,140,4264,7
141,141,4206,7
142,142,4074,7
143,143,4108,7
144,144,4024,7
145,145,3984,7
146,146,3852,7
147,147,3744,6
148,148,3758,6
149,149,3678,6
150,150,3594,6
151,151,3574,6
152,152,3560,6
153,153,3470,6
154,154,3454,6
155,155,3424,6
156,156,3324,6
157,157,3288,5
158,158,3232,5
159,159,3204,5
160,160,3172,5
161,161,3142,5
162,162,3060,5
163,163,3032,5
164,164,3012,5
165,165,2992,5
166,166,2952,5
167,167,2904,5
168,168,2882,5
169,169,2832,5
170,170,2806,5
171,171,2770,4
172,172,2730,4
173,173,2734,4
174,174,2644,4
175,175,2676,4
176,176,2678,4
177,177,2662,4
178,178,2700,4
179,179,2662,4
180,180,2652,4
181,181,2690,4
182,182,2682,4
183,183,2624,4
184,184,2654,4
185,185,2654,4
186,186,2670,4
187,187,2664,4
188,188,2642,4
189,189,2640,4
190,190,2650,4
191,191,2658,4
192,192,2676,4
193,193,2648,4
194,194,2642,4
195,195,2652,4
196,196,2646,4
197,197,2654,4
198,198,2664,4
199,199,2666,4
200,200,2660,4
201,201,2670,4
202,202,2672,4
203,203,2658,4
204,204,2656,4
205,205,2662,4
206,206,2686,4
207,207,2682,4
208,208,2686,4
209,209,2628,4
210,210,2654,4
211,211,2640,4
212,212,2670,4
213,213,2684,4
214,214,2676,4
215,215,2640,4
216,216,2676,4
217,217,2640,4
218,218,2664,4
219,219,2646,4
220,220,2668,4
221,221,2668,4
222,222,2638,4
223,223,2664,4
224,224,2618,4
225,225,2662,4
226,226,2680,4
227,227,2668,4
228,228,2652,4
229,229,2654,4
230,230,2670,4
