,Index,Chapter,Content,Word_Count,Text_Length,Location,LocationType,Time,Event,ESummary,EImportance,CTag,CText,Character,ERole
0,0,1,CHAPTER I. Down the Rabbit-Hole,5,31,,,,,,,,,,
1,1,1,"Alice was beginning to get very tired of sitting by her sister on the bank, and of having nothing to do: once or twice she had peeped into the book her sister was reading, but it had no pictures or conversations in it, “and what is the use of a book,” thought Alice “without pictures or conversations?”",57,302,field,EXT,day,Alice's boredom with reality,"Alice sits by her sister on a bank, feeling tired and uninterested as she peeks into a book with no pictures or conversations. This dissatisfaction sets the stage for her adventures.",5.0,Statement,Alice is bored and wonders about the purpose of a book without pictures.,Alice,Setup
2,2,1,"So she was considering in her own mind (as well as she could, for the hot day made her feel very sleepy and stupid), whether the pleasure of making a daisy-chain would be worth the trouble of getting up and picking the daisies, when suddenly a White Rabbit with pink eyes ran close by her.",55,289,field,EXT,day,Alice sees the White Rabbit,"Alice notices a White Rabbit with pink eyes and a watch, which sparks her curiosity and prompts her to follow it.",7.0,Action,"The White Rabbit runs past Alice, muttering about being late.",White Rabbit,Inciting Incident
3,3,1,"There was nothing so _very_ remarkable in that; nor did Alice think it so _very_ much out of the way to hear the Rabbit say to itself, “Oh dear! Oh dear! I shall be late!” (when she thought it over afterwards, it occurred to her that she ought to have wondered at this, but at the time it all seemed quite natural); but when the Rabbit actually _took a watch out of its waistcoat-pocket_, and looked at it, and then hurried on, Alice started to her feet, for it flashed across her mind that she had never before seen a rabbit with either a waistcoat-pocket, or a watch to take out of it, and burning with curiosity, she ran across the field after it, and fortunately was just in time to see it pop down a large rabbit-hole under the hedge.",141,739,hole,EXT,day,Alice sees the White Rabbit,"Alice notices a White Rabbit with pink eyes and a watch, which sparks her curiosity and prompts her to follow it.",7.0,Action,The White Rabbit takes a watch out of its waistcoat-pocket and hurries on.,White Rabbit,Inciting Incident
4,4,1,"In another moment down went Alice after it, never once considering how in the world she was to get out again.",21,109,hole,EXT,day,Alice follows the White Rabbit down the rabbit-hole,"Without thinking about the implications, Alice chases the rabbit and falls down a deep well, marking the start of her fantastical journey.",7.0,,,,Turning Point
5,5,1,"The rabbit-hole went straight on like a tunnel for some way, and then dipped suddenly down, so suddenly that Alice had not a moment to think about stopping herself before she found herself falling down a very deep well.",39,219,well,INT,night,Alice's contemplative descent,"As Alice falls down the rabbit hole, she wonders about her surroundings and contemplates various scenarios, revealing her imaginative nature and setting the tone for her experiences to come.",4.0,,,,Setup
6,6,1,"Either the well was very deep, or she fell very slowly, for she had plenty of time as she went down to look about her and to wonder what was going to happen next. First, she tried to look down and make out what she was coming to, but it was too dark to see anything; then she looked at the sides of the well, and noticed that they were filled with cupboards and book-shelves; here and there she saw maps and pictures hung upon pegs. She took down a jar from one of the shelves as she passed; it was labelled “ORANGE MARMALADE”, but to her great disappointment it was empty: she did not like to drop the jar for fear of killing somebody underneath, so managed to put it into one of the cupboards as she fell past it.",141,715,well,INT,night,Alice's contemplative descent,"As Alice falls down the rabbit hole, she wonders about her surroundings and contemplates various scenarios, revealing her imaginative nature and setting the tone for her experiences to come.",4.0,Action,Alice falls down a rabbit-hole and observes the odd surroundings.,Alice,Setup
7,7,1,"“Well!” thought Alice to herself, “after such a fall as this, I shall think nothing of tumbling down stairs! How brave they’ll all think me at home! Why, I wouldn’t say anything about it, even if I fell off the top of the house!” (Which was very likely true.)",49,259,well,INT,night,Alice's contemplative descent,"As Alice falls down the rabbit hole, she wonders about her surroundings and contemplates various scenarios, revealing her imaginative nature and setting the tone for her experiences to come.",4.0,,,,Setup
8,8,1,"Down, down, down. Would the fall _never_ come to an end? “I wonder how many miles I’ve fallen by this time?” she said aloud. “I must be getting somewhere near the centre of the earth. Let me see: that would be four thousand miles down, I think—” (for, you see, Alice had learnt several things of this sort in her lessons in the schoolroom, and though this was not a _very_ good opportunity for showing off her knowledge, as there was no one to listen to her, still it was good practice to say it over) “—yes, that’s about the right distance—but then I wonder what Latitude or Longitude I’ve got to?” (Alice had no idea what Latitude was, or Longitude either, but thought they were nice grand words to say.)",131,706,well,INT,night,Alice's contemplative descent,"As Alice falls down the rabbit hole, she wonders about her surroundings and contemplates various scenarios, revealing her imaginative nature and setting the tone for her experiences to come.",4.0,Statement,Alice contemplates the depth of her fall and her knowledge of geography.,Alice,Setup
9,9,1,"Presently she began again. “I wonder if I shall fall right _through_ the earth! How funny it’ll seem to come out among the people that walk with their heads downward! The Antipathies, I think—” (she was rather glad there _was_ no one listening, this time, as it didn’t sound at all the right word) “—but I shall have to ask them what the name of the country is, you know. Please, Ma’am, is this New Zealand or Australia?” (and she tried to curtsey as she spoke—fancy _curtseying_ as you’re falling through the air! Do you think you could manage it?) “And what an ignorant little girl she’ll think me for asking! No, it’ll never do to ask: perhaps I shall see it written up somewhere.”",125,684,well,INT,night,Alice's contemplative descent,"As Alice falls down the rabbit hole, she wonders about her surroundings and contemplates various scenarios, revealing her imaginative nature and setting the tone for her experiences to come.",4.0,,,,Setup
