tag,content,name
LOCATION,EXT. HEATH - THUNDERING STORM,
DEFAULT,"The scene opens with thunder and lightning. Three Witches appear, shrouded in mist and mystery.",
DIALOGUE,"All: Padock calls anon: fair is foul, and foul is fair, Hover through the fog and filthy air.",
STATEMENT,The Witches vanish into the darkness.,
LOCATION,INT. CASTLE - DAY,
DEFAULT,"The King, Malcolm, Donalbain, and Lennox enter, meeting a bleeding Captain.",
DIALOGUE,"What bloody man is that? He can report, As seems by his plight, of the Revolt, The newest state.",KING
DIALOGUE,"This is the Sergeant, Who like a good and hardy Soldier fought 'Gainst my Captivity: Hail brave friend; Say to the King the knowledge of the Broil, As thou didst leave it.",MALCOLM
DIALOGUE,"Doubtful it stood, As two spent Swimmers, that do cling together, And choke their Art: The merciless Macdonwald (Worthy to be a Rebel) is supplied, And Fortune on his damned Quarry smiling.",CAPTAIN
STATEMENT,"The Captain describes the fierce battle, showcasing Macbeth's bravery.",
DIALOGUE,"O valiant Cousin, worthy Gentleman.",KING
DIALOGUE,"As whence the Sun begins his reflection, Shipwracking Storms, and direful Thunders: So from that Spring, whence comfort seemed to come, Discomfort swells. Mark King of Scotland, mark.",CAPTAIN
LOCATION,EXT. HEATH - DAY,
DEFAULT,"The Witches reappear, gathering once more as they prepare to cast their spells.",
STATEMENT,"The Witches engage in their dark banter, revealing their sinister intentions.",
LOCATION,EXT. HEATH - LATER,
DEFAULT,A Drum beats in the distance as Macbeth and Banquo approach the Witches.,
DIALOGUE,So foul and fair a day I have not seen.,MACBETH
DIALOGUE,How far is't called to Sore?,BANQUO
DIALOGUE,Speak if you can: what are you?,MACBETH
STATEMENT,"Banquo questions the Witches' appearance, feeling unsettled by their prophecies.",
DIALOGUE,"Good Sir, why do you start, and seem to fear Things that do sound so fair?",BANQUO
DIALOGUE,"Stay you imperfect Speakers, tell me more: By Sinel's death, I know I am Thane of Glamis, But how, of Cawdor? ",MACBETH
STATEMENT,"The Witches vanish into thin air, leaving Macbeth and Banquo bewildered.",
LOCATION,INT. CASTLE - DAY,
DEFAULT,"Ross and Angus enter, bringing news to Macbeth.",
DIALOGUE,"The King hath happily received, Macbeth, The news of thy success.",ROSSE
DIALOGUE,"We are sent, To give thee from our Royal Master thanks.",ANGUS
STATEMENT,"Macbeth is named Thane of Cawdor, a title he finds difficult to comprehend.",
DIALOGUE,The Thane of Cawdor lives: Why do you dress me in borrowed Robes?,MACBETH
DIALOGUE,"What, can the Devil speak true?",BANQUO
STATEMENT,"As the scene concludes, Macbeth contemplates the dark prophecies that lie ahead.",
LOCATION,INT. CASTLE - DAY,
STATEMENT,"The scene opens with King, Lenox, Malcolme, Donalbaine, and Attendants entering the castle.",
DIALOGUE,Is execution done on Cawdor? Or not those in Commission yet return'd?,KING
DIALOGUE,"My Liege, they are not yet come back. But I have spoke with one that saw him die: Who did report, that very frankly he Confess'd his Treasons, implor'd your Highness Pardon, And set forth a deep Repentance...",MALCOLME
DIALOGUE,"There's no Art, To find the Mindes construction in the Face. He was a Gentleman, on whom I built An absolute Trust.",KING
LOCATION,INT. CASTLE - CONTINUOUS,
STATEMENT,"Macbeth, Banquo, Rosse, and Angus enter, and the atmosphere shifts as they approach the King.",
DIALOGUE,"O worthyest Cousin, The sin of my Ingratitude even now Was heavy on me...",KING
DIALOGUE,"The service, and the loyalty I owe, In doing it, pays itself.",MACBETH
DIALOGUE,"Welcome hither: I have begun to plant thee, and will labour To make thee full of growing.",KING
DIALOGUE,"There if I grow, The Harvest is your own.",BANQUO
DIALOGUE,"My plenteous Joys, Wanton in fullness, seek to hide themselves In drops of sorrow.",KING
LOCATION,INT. CASTLE - LATER,
